"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,group,res,desc,desc_tw,desc_en,desc_vn,desc_kr,onlyOne,limit,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,resultDesc1,resultDesc1_tw,resultDesc1_en,resultDesc1_vn,resultDesc1_kr,result1,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,resultDesc2,resultDesc2_tw,resultDesc2_en,resultDesc2_vn,resultDesc2_kr,result2,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,resultDesc3,resultDesc3_tw,resultDesc3_en,resultDesc3_vn,resultDesc3_kr,result3
默认值,"""""","""""","""""","""""","""""","""""",1,"""""","""""","""""","""""","""""","""""",FALSE,999,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{}
ID,备注,事件标题,事件标题,事件标题,事件标题_越南,事件标题_韩,组ID,卡面资源,事件描述,事件描述,事件描述,事件描述_越南,事件描述_韩,今日是否唯一,限制出现的次数,选择1描述,选择1描述,选择1描述,选择1描述_越南,选择1描述_韩,结果1描述,结果1描述,结果1描述,结果1描述_越南,结果1描述_韩,结果1,选择2描述,选择2描述,选择2描述,选择2描述_越南,选择2描述_韩,结果2描述,结果2描述,结果2描述,结果2描述_越南,结果2描述_韩,结果2,选择3描述,选择3描述,选择3描述,选择3描述_越南,选择3描述_韩,结果3描述,结果3描述,结果3描述,结果3描述_越南,结果3描述_韩,结果3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Exquisite Statue,精緻雕像,Exquisite Statue,404404,정교한 조각상,2,,"A delicate statue fell to the ground, and it seemed that golden light was shining inside the statue.",有一個精緻的雕像倒在了地上，似乎可以看到雕像內閃爍著金色的光,"A delicate statue fell to the ground, and it seemed that golden light was shining inside the statue.",404404,"""정교한 조각상이 바닥에 쓰러졌으며, 조각상 안에서 황금색 빛이 반짝이는 것이 보이는 것 같다""",TRUE,,Place the statue properly,將雕像擺好,Place the statue properly,404404,조각상을 원래대로 둔다,"You receive blessings from the statue, HP of all Pokémons on battlefield is fully restored",獲得了雕像的祝福，上陣精靈的hp完全恢復,"You receive blessings from the statue, HP of all Pokémons on battlefield is fully restored",404404,"""조각상의 축복을 받아, 출전한 포켓몬은 HP를 완전히 회복한다""",{buff=<210>},Smash it,砸碎它,Smash it,404404,깨부순다,"You get coins, but are cursed, causing the HP all battling Pokémons to reduce by 20%",獲得了金幣，但是受到了詛咒，所有上陣精靈生命值減少20%,"You get coins, but are cursed, causing the HP all battling Pokémons to reduce by 20%",404404,"""골드 코인을 획득했지만, 저주를 받아 출전한 모든 포켓몬의 HP가 20% 감소한다""",{items={gold=5000};buff=<201>},Turn a blind eye,視而不見,Turn a blind eye,404404,못 본 척 한다,Nothing happened,什麼都沒有發生,Nothing happened,404404,아무 일도 일어나지 않았다,
2,,Strange Statue,奇異雕像,Strange Statue,Bức Tượng Kỳ Lạ,신기한 조각상,2,,"A strange statue fell to the ground, and it seemed that sparkly light was shining inside the statue.",有一個奇特的雕像倒在了地上，似乎可以看到雕像內閃爍著耀眼的光,"A strange statue fell to the ground, and it seemed that sparkly light was shining inside the statue.","Có q bức tượng kỳ lạ rơi trên đất, hình như có thể nhìn thấy ánh sáng rực rỡ trong bức tượng","""특별한 조각상이 바닥에 쓰러졌으며, 조각상 안에서 눈 부신 빛이 반짝이는 것이 보이는 것 같다""",TRUE,,Place the statue properly,將雕像擺好,Place the statue properly,404404,조각상을 원래대로 둔다,"You receive blessings from the statue, rage value of all Pokémons on battlefield is fully restored",獲得了雕像的祝福，上陣精靈的怒氣完全恢復,"You receive blessings from the statue, rage value of all Pokémons on battlefield is fully restored","Nhận được chúc phúc của Bức Tượng, Pokémon lên trận khôi phục hoàn toàn Nộ Khí","""조각상의 축복을 받아, 출전한 포켓몬은 분노를 완전히 회복한다""",{buff=<211>},Smash it,砸碎它,Smash it,404404,깨부순다,"You get coins, but are cursed, losing all rage value of the Pokémons on the battlefield",獲得了金幣，但是受到了詛咒，所有上陣精靈怒氣被清空了,"You get coins, but are cursed, losing all rage value of the Pokémons on the battlefield","Nhận được Gold, nhưng bị nguyền rủa, tất cả Pokémon lên trận đều bị xoá Nộ Khí","""골드 코인을 획득했지만, 저주를 받아 출전한 모든 포켓몬의 분노가 0이 된다""",{items={gold=5000};buff=<205>},Turn a blind eye,視而不見,Turn a blind eye,404404,못 본 척 한다,"The statue gives out a faint light, and you seem to have received blessing after it is  attached to your body. In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns",雕像中透露出一個微弱的光，附加到你的身上，似乎得到了祝福，下一次戰鬥中，我方精靈擊殺敵人後可以獲得100%的攻擊力加成，持續2回合,"The statue gives out a faint light, and you seem to have received blessing after it is  attached to your body. In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns","Trong bức tượng lộ ra ánh sáng mờ nhạt, gắn lên trên người bạn, dường như đã nhận được chúc phúc, lần chiến đấu sau, Pokémon phe ta sau khi tiêu diệt kẻ địch nhận tăng 100% Tấn Công, trong 2 hiệp","""조각상에서 희미한 빛이 나면서, 당신의 몸을 비추더니, 축복을 내려줬다. 다음 전투에서, 아군 포켓몬이 적을 처치하면 2턴 간 100%의 공격력 보너스를 얻는다""",{buff=<1038>}
3,,Ferocious Roadblocking Monster,攔路凶獸,Ferocious Roadblocking Monster,404404,길을 막은 몬스터,1,,You accidentally awakened the sleeping Snorlax,你誤打誤撞吵醒了正在熟睡的卡比獸,You accidentally awakened the sleeping Snorlax,404404,당신은 이러쿵저러쿵 하다가 잠자고 있던 잠만보를 깨웠다,,3,Console him,安撫他,Console him,404404,쓰다듬어 준다,"Snorlax continues to fall asleep, a treasure chest seems to be placed behind him",卡比獸繼續倒頭大睡，他的身後似乎有個寶箱,"Snorlax continues to fall asleep, a treasure chest seems to be placed behind him",404404,"""잠만보는 계속 잠을 잤고, 그의 몸 뒤에는 보물상자가 있는 것 같다""",{items={gold=5000}},Hide,藏起來,Hide,404404,숨긴다,"Snorlax is raging, it gives out a loud roar that frightens you. P.ATK and SP.ATK is reduced by 10%, the rage points of the Pokémons on the battlefield reduce as well.",卡比獸怒不可遏，發出怒吼，你受到驚嚇，物理和特殊攻擊力降低10%，上陣精靈怒氣減少,"Snorlax is raging, it gives out a loud roar that frightens you. P.ATK and SP.ATK is reduced by 10%, the rage points of the Pokémons on the battlefield reduce as well.",404404,"""잠만보가 매우 화를 내면서 포효를 했고, 당신은 매우 놀라, 물리&특수 공격력이 10% 감소했고, 출전한 포켓몬의 분노가 감소했다""",{buff=<212;213>},,,,,,,,,,,
4,,Hidden mystery,暗藏玄機,Hidden mystery,404404,숨겨진 수수께끼,2,,"It's empty here, but seems like a faint sound can be heard",這裡空空的，似乎能聽到微弱的聲音,"It's empty here, but seems like a faint sound can be heard",404404,"""이곳은 텅텅 비어있었고, 미약한 소리가 들리는 것 같다""",,,Listening Attentively,側耳傾聽,Listening Attentively,404404,귀 기울여 듣는다,"After hearing Meloetta's voice, at the beginning of the next battle, the allied Pokémon that makes the first move deals double damage",聽到了美洛耶塔的歌聲，下一次戰鬥開始時，我方第一隻行動的精靈造成雙倍傷害,"After hearing Meloetta's voice, at the beginning of the next battle, the allied Pokémon that makes the first move deals double damage","Nghe được tiếng hát của Meloetta, trận chiến sau bắt đầu, Pokémon hành động đầu tiên phe ta gây sát thương nhân đôi","""메로엣타의 노랫소리를 들었다. 다음 전투 시작 시, 첫 번째로 행동하는 아군 포켓몬이 입히는 피해가 2배가 된다""",{buff=<1039>},Look around,四處找找,Look around,404404,사방을 뒤져본다,You found a chest that seems to contain something,似乎找到了一個寶箱，裡面有一些東西,You found a chest that seems to contain something,404404,뭔가가 들어 있는 듯한 보물상자를 찾은 것 같다,{items={gold=5000}},,,,,,,,,,,
5,,Mysterious chest,迷之寶箱,Mysterious chest,404404,미스테리 보물상자,2,,You found a chest that looks kinda weird,發現了一個長相奇特的寶箱,You found a chest that looks kinda weird,404404,특이하게 생긴 보물상자를 발견했다,,,Throw a stone,扔個石頭過去,Throw a stone,404404,돌을 던져본다,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins",寶箱怪張開巨大的嘴巴把石頭吞了下去，似乎是磕到了牙，掉落了一小袋金幣,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins","Qúai Rương mở miệng khổng lồ nuốt trọn hòn đá, hình như đụng phải răng, rớt xuống 1 túi Gold nhỏ","""보물상자가 거대한 입을 벌려 바위를 삼켜버리더니, 혀를 깨물었는지 작은 골드 코인 주머니를 떨궜다""",{items={gold=5000}},Go and check it out,上前查看,Go and check it out,404404,다가가서 본다,"It's actually a chest monster, HP of battling Pokémons has reduced",居然是個寶箱怪，上陣精靈生命值減少了,"It's actually a chest monster, HP of battling Pokémons has reduced",404404,설마 했는데 보물상자 몬스터였다. 출전한 포켓몬의 HP가 감소했다,{buff=<200>},Beware ahead,小心上前,Beware ahead,404404,조심히 다가간다,You get one chest,獲得了一個寶箱,You get one chest,404404,보물상자 하나를 획득했다,{items={gold=15000}}
6,,Mysterious chest,迷之寶箱,Mysterious chest,404404,미스테리 보물상자,2,,You found a chest that looks kinda weird,發現了一個長相奇特的寶箱,You found a chest that looks kinda weird,404404,특이하게 생긴 보물상자를 발견했다,,,Throw a stone,扔個石頭過去,Throw a stone,404404,돌을 던져본다,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins",寶箱怪張開巨大的嘴巴把石頭吞了下去，似乎是磕到了牙，掉落了一小袋金幣,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins","Qúai Rương mở miệng khổng lồ nuốt trọn hòn đá, hình như đụng phải răng, rớt xuống 1 túi Gold nhỏ","""보물상자가 거대한 입을 벌려 바위를 삼켜버리더니, 혀를 깨물었는지 작은 골드 코인 주머니를 떨궜다""",{items={gold=5000}},Go and check it out,上前查看,Go and check it out,404404,다가가서 본다,You get one chest,獲得了一個寶箱,You get one chest,404404,보물상자 하나를 획득했다,{items={gold=9000}},Beware ahead,小心上前,Beware ahead,404404,조심히 다가간다,"It's actually a chest monster, HP of battling Pokémons has reduced",居然是個寶箱怪，上陣精靈生命值減少了,"It's actually a chest monster, HP of battling Pokémons has reduced",404404,설마 했는데 보물상자 몬스터였다. 출전한 포켓몬의 HP가 감소했다,{buff=<200>}
7,,An Encounter with Team Rocket,遭遇火箭隊,An Encounter with Team Rocket,404404,로켓단 조우,1,,You found the Team Rocket trio who are behaving suspiciously,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,404404,수상한 로켓단 삼인조를 발견했다,,,Say hello,上前打招呼,Say hello,404404,다가가 인사를 한다,"The trio is startled and a battle ensued. HP of battling Pokémons reduces by 10%, but rage level has increased",三人組受到了驚嚇，當即發生對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"The trio is startled and a battle ensued. HP of battling Pokémons reduces by 10%, but rage level has increased","Bộ ba hoảng sợ, lập tức quyết đấu, Pokémon lên trận giảm 10% HP, nhưng tăng Nộ Khí","""삼인조는 매우 놀라며 즉시 대결이 일어났다. 출전한 포켓몬의 HP가 10% 감소하지만, 분노가 증가했다""",{buff=<200;215>},Observe secretly,偷偷觀察,Observe secretly,404404,몰래 본다,"They seem to have found something valuable and left. Following the traces, you also found some remaining coins. You get 15,000 coins.",他們似乎找到了什麼值錢的東西後離開了，跟著他們的步伐，你也找到了一些殘留的金幣，金幣+15000,"They seem to have found something valuable and left. Following the traces, you also found some remaining coins. You get 15,000 coins.",404404,"""그들은 뭔가 돈이 될만한 물건을 찾아서 떠난 것 같다. 그들을 따라가 보니, 당신도 남아있는 골드 코인을 획득했다. 골드 코인+15000""",{items={gold=15000}},,,,,,,,,,,
8,,An Encounter with Team Rocket,遭遇火箭隊,An Encounter with Team Rocket,404404,로켓단 조우,1,,You found the Team Rocket trio who are behaving suspiciously,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,404404,수상한 로켓단 삼인조를 발견했다,,,Say hello,上前打招呼,Say hello,404404,다가가 인사를 한다,"The trio is startled and ran away swiftly. In their hasty escape, they seem to have left behind some coins",三人組受到了驚嚇，飛也似地逃走了，慌亂中似乎留下了一些金幣,"The trio is startled and ran away swiftly. In their hasty escape, they seem to have left behind some coins","Bộ ba hoảng sợ, lập tức chạy trốn, trong lúc hoảng loạn bỏ lại một số Gold","""삼인조는 매우 놀라며 날아가는 듯이 도망쳤고, 그 와중에 골드 코인을 떨궜다""",{items={gold=15000}},Observe secretly,偷偷觀察,Observe secretly,404404,몰래 본다,"You've been discovered and have no chpice but to battle. HP of battling Pokémons reduces by 10%, but rage level has increased",似乎被他們發現了，被迫進行對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"You've been discovered and have no chpice but to battle. HP of battling Pokémons reduces by 10%, but rage level has increased","Có bị đã bị họ phát hiện, buộc phải quyết đấu, Pokémon lên trận giảm 10% HP, nhưng Nộ Khí tăng","""그들에게 발각된 것 같아, 어쩔 수 없이 전투가 일어났다. 출전한 포켓몬의 HP가 10% 감소했지만, 분노가 증가했다""",{buff=<200;215>},,,,,,,,,,,
9,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,2,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man revealed his identity and takes out a gem - he is actually an explorer. You take the gem and receive blessings from it. In the subsequent battle, allied Pokémons receive a initial rage value of 1000.",神秘人說出自己身份，其實他是一個探險家，從口袋裡拿出一個寶石，你接過寶石後，得到了寶石的祝福，下一次開始戰鬥時，我方精靈獲得1000初始怒氣值,"The mysterious man revealed his identity and takes out a gem - he is actually an explorer. You take the gem and receive blessings from it. In the subsequent battle, allied Pokémons receive a initial rage value of 1000.","Người bí ẩn nói ra danh tính, thật ra hắn là một nhà thám hiểm, lấy trong túi ra 1 viên bảo thạch, ngươi nhận lấy và nhận được chúc phúc của bảo thạch, lần chiến đấu tiếp theo, Pokémon phe ta nhận 1000 Nộ Khí ban đầu","""수수께끼의 인물이 자신은 사실 탐험가라 밝혔고, 주머니에서 보석을 하나 꺼냈다. 당신은 보석을 건네받고는, 보석의 축복을 받았다. 다음 전투 시작 시, 아군 포켓몬은 1000의 분노를 획득한다""",{buff=<1057>},Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了200額外積分,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 200포인트를 획득했다""",{points=200},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你，（獲得一個小獎勵）,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다, (작은 보상을 얻었다)""",{items={gold=15000}}
10,,Mysterious Power,未知力量,Mysterious Power,404404,미지의 힘,2,,Seems like there's a mysterious power that is hindering you from moving on,似乎有某種奇怪的力量阻止你繼續前行,Seems like there's a mysterious power that is hindering you from moving on,404404,이상한 힘이 당신의 전진을 방해하는 것 같다,,,Investigate the cause,調查原因,Investigate the cause,404404,원인을 조사한다,You've successfully closed the obstruction device and received a reward,成功關上了妨礙裝置，獲得了一個獎勵,You've successfully closed the obstruction device and received a reward,404404,방해 장치를 성공적으로 잠가 보상을 획득했다,{items={gold=5000}},Taking a Detour,繞道而行,Taking a Detour,404404,돌아서 간다,You found a new path and went ahead normally (nothing happened),找到了一條新的道路，正常前行（什麼都沒發生）,You found a new path and went ahead normally (nothing happened),404404,새로운 길을 발견해 그대로 나아갔다(아무 일도 일어나지 않았다),,Go courageously,勇往直前,Go courageously,404404,용감하게 다가간다,"A certain switch seems to be triggered, current HP of battling Pokémon reduces by 20%, and rage value increases by 50%",似乎是觸發了某個機關，上陣精靈減少20%當前生命值，怒氣值增加50%,"A certain switch seems to be triggered, current HP of battling Pokémon reduces by 20%, and rage value increases by 50%",404404,"""어떤 장치를 작동시킨 것 같다. 출전한 포켓몬은 현재 HP의 20%를 잃고, 분노가 50% 증가한다""",{buff=<200;206>}
11,,Wish Maker,七夜之願,Wish Maker,404404,일곱 밤의 소원,3,,"You encounter a Jirachi which is in a very good mood, it seems to be asking about your wish.",遇到了心情很好的基拉祈，它似乎在問你想要實現的願望,"You encounter a Jirachi which is in a very good mood, it seems to be asking about your wish.","Gặp Jirachi tâm trạng rất tốt, có vẻ như nó đang hỏi bạn mong muốn điều gì","""기분이 좋은 지라치를 만났고, 그는 당신의 소원을 물어보는 것 같다""",TRUE,1,I wanna get stronger,我要變強,I wanna get stronger,404404,나는 강해질 거야,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles",下一次戰鬥開始時，15%幾率對方敵人的當前生命值減半，只有第一次挑戰該戰鬥時可能觸發，之後挑戰不會觸發,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles",404404,"""다음 전투 시작 시, 15%의 확률로 적 포켓몬 현재 HP의 절반을 감소 시킨다. 해당 효과는 처음 도전에서만 발동되고 이후에는 발동되지 않는다.""",{buff=<1040>},I want some diamonds,我要鑽石,I want some diamonds,404404,다이아를 원합니다,You get 50 diamonds,獲得了50鑽石,You get 50 diamonds,404404,다이아 50개를 획득했다,{items={rmb=50}},I want money,我要錢,I want money,404404,돈을 원합니다,You get plenty of money,獲得了大量金錢,You get plenty of money,404404,대량의 골드 코인을 얻었다,{items={gold=25000}}
