"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,group,res,desc,desc_tw,desc_en,desc_vn,desc_kr,onlyOne,limit,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,resultDesc1,resultDesc1_tw,resultDesc1_en,resultDesc1_vn,resultDesc1_kr,result1,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,resultDesc2,resultDesc2_tw,resultDesc2_en,resultDesc2_vn,resultDesc2_kr,result2,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,resultDesc3,resultDesc3_tw,resultDesc3_en,resultDesc3_vn,resultDesc3_kr,result3
24,,Black Market Merchant,黑市商人,Black Market Merchant,Thương Nhân Black City,암시장 상인,3,,"A suspicious man who claims to be a black market businessman appears, he is saying that he can save you from danger",出現了一個自稱黑市商人的可疑的人，似乎說是可以救你於危難,"A suspicious man who claims to be a black market businessman appears, he is saying that he can save you from danger","Xuất hiện 1 người khả nghi tự xưng là thương nhân Black City, dường như có thể cứu bạn khỏi nguy hiểm","""자신을 암시장 상인이라고 하는 수상한 사람을 만났고, 당신을 위기에서 구해줄 수 있다고 말하는 것 같다""",TRUE,1,Try listening to it,聽聽看,Try listening to it,Nghe thử xem,들어 본다,"He took out an orb from his pocket, and in the subsequent battle, enemy Pokémons with less than 10% HP at the end of the final round will be finished off by Yveltal, the god of death, and will leave the battlefield instantly",他從口袋裡拿出一個寶珠，之後戰鬥中，每大回合結束時生命低於10%的敵方精靈將被死神伊裴爾塔爾收割，直接退場,"He took out an orb from his pocket, and in the subsequent battle, enemy Pokémons with less than 10% HP at the end of the final round will be finished off by Yveltal, the god of death, and will leave the battlefield instantly","Hắn lấy trong túi ra 1 viên bảo châu, trong các trận chiến sau, kết thúc mỗi hiệp lớn, Pokémon phe địch HP dưới 10% sẽ bị thần chết Yveltal thu hoạch, cho đến khi rời trận","""그는 주머니에서 구슬 하나를 꺼냈고, 그 후 전투 중에서, 라운드 종료마다 HP가 10% 미만인 적 포켓몬은 사신 이벨타르에게 수확을 당하여 즉시 퇴장된다""",{buff=<1110>},Ignore him,不理他,Ignore him,Kệ Hắn,무시한다,"""In order to expand the number of customers, I shall give you a little discount this time around"", all enemies are silenced for 1 turn in the next battle",“作為客戶擴展，這次就給你一點優惠吧”，下一次戰鬥開始時，沉默所有敵人一回合,"""In order to expand the number of customers, I shall give you a little discount this time around"", all enemies are silenced for 1 turn in the next battle","""Để phát triển khách hàng, lần này sẽ giảm giá cho bạn chút"", khi bắt đầu lần chiến đấu sau, trầm mặc toàn bộ phe địch 1 hiệp","""“고객님의 발전을 위해, 서비스를 드리겠습니다”, 다음 전투 시작 시, 모든 적을 1턴 간 침묵시킨다""",{buff=<1052>},Vigilance,警覺,Vigilance,Cảnh Giác,경각,"""Oh no, seems like you don't find me trustworthy at all. Well then, here's a mysterious rune as a gift for you."" You obtain the power of the mysterious rune. In subsequent battles, when an enemy is defeated, you deal 40% of damage to the defeated enemy to nearby Pokémons",“哎呀哎呀，看來我還真是不被信任呢，這樣吧，這個神秘符文算我送你了”獲取了神秘符文的力量，之後的戰鬥擊敗敵人時，對其周圍精靈造成該傷害值40%的傷害,"""Oh no, seems like you don't find me trustworthy at all. Well then, here's a mysterious rune as a gift for you."" You obtain the power of the mysterious rune. In subsequent battles, when an enemy is defeated, you deal 40% of damage to the defeated enemy to nearby Pokémons","""Ồ ồ, xem ta ta thật sự không nhận được sự tin tưởng, vậy đi, coi như ta tặng ngươi Phù Văn thần bí này"" nhận được sức mạnh của Phù Văn thần bí, các trận chiến sau khi đánh bại kẻ địch, gây cho Pokémon xung quanh địch sát thương = 40% sát thương này","""“어이쿠야, 나를 믿지 않는 것 같네. 그럼, 이 신비의 룬을 그냥 선물로 주도록 하지” 신비의 룬의 힘을 얻어, 그 후의 전투에서 적을 처치하면, 처치한 적 주변 포켓몬에게 해당 피해의 40%를 추가로 입힌다""",{buff=<1116>}
25,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,3,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man revealed his identity and takes out a soul orb - he is actually a rogue. You accept the orb and receive blessings from it. In subsequent battles, the enemy Pokémons receive a permanent 10% reduction in max. HP",神秘人說出自己身份，其實他是一個盜賊，從口袋裡拿出一個靈玉，你接過靈玉後，得到了靈玉的祝福，之後戰鬥中，敵方精靈永久減少10%生命上限,"The mysterious man revealed his identity and takes out a soul orb - he is actually a rogue. You accept the orb and receive blessings from it. In subsequent battles, the enemy Pokémons receive a permanent 10% reduction in max. HP","Người bí ẩn nói ra danh tính, thật ra hắn là tên trộm, lấy trong túi ra 1 Linh Ngọc, ngươi nhận lấy và nhận chúc phúc của Linh Ngọc, trong các trận chiến sau, Pokémon phe địch giảm vĩnh viễn 10% giới hạn HP","""수수께끼의 인물이 자신은 사실 도적이라 밝혔고, 주머니에서 옥구슬을 하나 꺼냈다. 당신은 옥구슬을 건네받고는, 옥구슬의 축복을 받았다. 다음 전투 시작 시, 적 포켓몬은 최대 10%의 HP를 영구적으로 잃는다""",{buff=<1114>},Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了200額外積分,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 200 extra points.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 200포인트를 획득했다""",{points=400},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你，（獲得一個小獎勵）,The mysterious man took a bag out of his pocket and gave it to you instead of telling you. (You get a small reward),404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다, (작은 보상을 얻었다)""",{items={gold=20000}}
26,,Victini's blessing,比克提尼的祝福,Victini's blessing,Victini Chúc Phúc,비크티니의 축복,3,,A wild Victini has appeared. This Pokémon symbolizes victory and seems to be able to give you blessings,野生的比克提尼出現了，那是象徵著勝利的精靈，似乎可以給你祝福,A wild Victini has appeared. This Pokémon symbolizes victory and seems to be able to give you blessings,"Victini hoang dã đã xuất hiện, đó là Pokémon biểu tượng của thắng lợi, dường như có thể chúc phúc cho bạn","""야생의 비크티니가 나타났다. 그는 승리를 상징하는 포켓몬이며, 당신에게 축복을 내려줄지도 모른다""",TRUE,1,"My damage is not enough, I need to be stronger",我的傷害不夠，需要加強,"My damage is not enough, I need to be stronger","Sát thương của ta không đủ, cần được tăng cường","""내 대미지가 부족해, 더 강화해야 해""","You receive blessing that increases your damage, giving a true damage of 20% ATK of the Pokémon with the highest ATK in the allied team to all enemy Pokémons at the end of the final round",給予你傷害增加的祝福，每大回合結束時對所有敵方精靈造成我方攻擊最高精靈20%攻擊的真實傷害,"You receive blessing that increases your damage, giving a true damage of 20% ATK of the Pokémon with the highest ATK in the allied team to all enemy Pokémons at the end of the final round","Chúc phúc tăng sát thương cho ngươi, kết thúc mỗi hiệp lớn gây cho toàn bộ Pokémon phe địch sát thương thực = 20% tấn công cao nhất của Pokémon phe ta","""당신에게 대미지 증가 축복을 내려, 라운드 종료마다 모든 적 포켓몬에게 공격력이 가장 높은 아군 포켓몬 공격력의 20%에 해당하는 고정 피해를 입힌다""",{buff=<1121>},"My Pokémons gets knocked out easily, they need better survivability",我的精靈容易被擊敗，需要生存,"My Pokémons gets knocked out easily, they need better survivability","Pokémon của ta dễ bị đánh bại, cần phải sinh tồn","""내 포켓몬은 너무 쉽게 죽어, 생존력이 필요해""","You receive a defense blessing. When entering a battle, your team gain a shield that can absorb all damage taken by all the allied Pokémons, the amount of absorption is equal to the allied Pokémon with the highest HP",給予你防禦的祝福，進入戰鬥時獲得一個全體護盾，該護盾可以吸收所有我方精靈受到的傷害，其吸收值與我方精靈中最高生命值相同,"You receive a defense blessing. When entering a battle, your team gain a shield that can absorb all damage taken by all the allied Pokémons, the amount of absorption is equal to the allied Pokémon with the highest HP","Chúc phúc phòng ngự cho bạn, vào chiến đấu nhận 1 Hộ Thuẫn toàn thể, Hộ Thuẫn này hấp thụ bị sát thương của toàn bộ Pokémon phe ta, mức hấp thụ bằng HP cao nhất trong Pokémon phe ta","""당신에게 방어의 축복을 내려, 전투 진입 시 전체 실드를 획득한다. 해당 실드는 아군 포켓몬이 입는 피해를 흡수하며, 흡수량은 아군 포켓몬 중에서 가장 높은 HP로 적용된다""",{buff=<1122>},The enemy is too powerful,敵人太強了,The enemy is too powerful,Kẻ Địch Quá Mạnh,적이 너무 강해,You receive the blessing of annihilation. Allied Pokémons will remove alll buff effect of the enemy after using the Ultimate Skill,給予你湮滅的祝福，我方精靈使用必殺技時清除目標的所有增益效果,You receive the blessing of annihilation. Allied Pokémons will remove alll buff effect of the enemy after using the Ultimate Skill,"Chúc phúc huỷ diệt cho ngươi, Pokémon phe ta khi sử dụng kỹ năng tất sát sẽ xoá toàn bộ hiệu quả tăng lợi của mục tiêu","""당신에게 파멸의 축복이 내려져, 아군 포켓몬이 필살기를 시전할 시 목표의 모든 버프 효과를 디스펠한다""",{buff=<1119>}
27,,Today's dinner,今天的晚餐,Today's dinner,Bữa Tối Hôm Nay,오늘의 저녁,3,,You meet a trainer from the Aether Paradise who is deep in thoughts. She seems to be worrying for her dinner,遇到一個沉思中的乙太樂園訓練家，她似乎是在為今天的晚餐發愁,You meet a trainer from the Aether Paradise who is deep in thoughts. She seems to be worrying for her dinner,"Gặp 1 HLV Aether Paradise đang suy ngẫm, cô ấy dường như đang lo lắng cho bữa tối nay",고민에 빠진 에테르 파라다이스 트레이너를 만났다. 그녀는 오늘 저녁 메뉴에 대해 고민하고 있었다,TRUE,1,Suggest to her to eat the rice ball,推薦她吃飯團,Suggest to her to eat the rice ball,Đề nghị cô ấy ăn cơm nắm,주먹밥을 추천해 준다,"She heeded your advice, went to the canteen to get some rice balls, and shared one with you",她接受了你的意見，去食堂買了飯團，並分了一個給你,"She heeded your advice, went to the canteen to get some rice balls, and shared one with you","Cô ấy chấp nhận ý kiến của ngươi, đến quán ăn mua cơm nắm và cho ngươi 1 phần","""그녀는 당신의 의견을 받아들이고, 식당에서 주먹밥을 사와, 하나를 당신에게 나눠주었다""",{items={516=1}},We can just have lunch boxes since time is tight,時間不多，吃點便當算了吧,We can just have lunch boxes since time is tight,"Thời gian không nhiều, ăn Bento được rồi","""시간이 얼마 없으니, 도시락을 추천합니다""","She heeded your advice, went to a convenience store to buy some lunch box, and shared some with you",她接受了你的提議，去便利店買了些便當，並分了一些給你,"She heeded your advice, went to a convenience store to buy some lunch box, and shared some with you","Cô ấy chấp nhận đề nghị của bạn, đến cửa hàng tiện mợi mua ít Bento, cho cho bạn một ít","""그녀는 당신의 의견을 받아들이고, 식당에서 도시락을 사와, 당신에게 나눠주었다""",{items={515=1}},,,,,,,,,,,
28,,Secret investigation?,潛入搜查？,Secret investigation?,Lén Tìm Kiếm?,잠입 수사?,2,,"A man who claims to be a Ranger has appeared, he seems to be seeking for your help to investigate the nearby Pokémons that have gone missing mysteriously",面前出現了一個自稱是巡護員的人，似乎想請你協助調查附近精靈異常走失的情況,"A man who claims to be a Ranger has appeared, he seems to be seeking for your help to investigate the nearby Pokémons that have gone missing mysteriously","Trước mặt xuất hiện 1 người tự xưng là Ranger, dường như muốn nhờ bạn hỗ trợ điều tra tình hình Pokémon đi lạc bất thường gần đây","""전방에 자신을 순찰대원이라 부르는 사람을 만났고, 당신에게 근처에서 포켓몬이 길을 잃는 비정상적인 사건의 조사에 협조해달라 하려는 것 같다""",,1,Kind and Helpful,熱心協助,Kind and Helpful,Hỗ trợ nhiệt tình,흔쾌히 도와준다,"You've been tricked by him after entering a room, the HP of your battling Pokémons reduces by 10% but rage value increases",在你進入某個房間之後，被他暗算，上陣精靈生命值減少10%，但是怒氣值增加了,"You've been tricked by him after entering a room, the HP of your battling Pokémons reduces by 10% but rage value increases","Sau khi ngươi vào Phòng bất kỳ, bị hắn hãm hại, Pokémon lên trận giảm 10% HP, nhưng Nộ Khí tăng","""당신이 어떤 방에 들어간 후 그의 함정에 걸려서 출전한 포켓몬의 HP가 10% 감소했지만, 분노가 증가했다""",{buff=<200;215>},Express suspicion,表達懷疑,Express suspicion,Thể hiện nghie ngờ,의심을 표한다,"""I didn't expect you to see through that. I shouldn't stay here for long, bye."" You feel very unhappy about it, and the rage value of the Pokémons on the battlefield increases",“沒想到你居然能識破，此地不宜久留，我先走了”，你感到很不愉快，上陣精靈的怒氣值增加了,"""I didn't expect you to see through that. I shouldn't stay here for long, bye."" You feel very unhappy about it, and the rage value of the Pokémons on the battlefield increases","""Không ngờ ngươi có thể phá giải, nơi này không thể ở lâu, ta đi trước đây"", bạn thấy không vui, Pokémon lên trận tăng Nộ Khí","""“눈치챌 줄이야, 이곳은 오래 머물지는 못 하니, 먼저 갈게”, 당신은 매우 불쾌했고, 출전한 포켓몬의 분노가 증가했다""",{buff=<215>},,,,,,,,,,,
29,,Secret investigation,潛入搜查,Secret investigation,Lén Tìm Kiếm,잠입 수사,2,,"A man who claims to be a Ranger has appeared, he seems to be seeking for your help to investigate the nearby Pokémons that have gone missing mysteriously",面前出現了一個自稱是巡護員的人，請你協助調查附近精靈異常走失的情況,"A man who claims to be a Ranger has appeared, he seems to be seeking for your help to investigate the nearby Pokémons that have gone missing mysteriously","Trước mặt xuất hiện 1 người tự xưng là Ranger, nhờ bạn hỗ trợ điều tra tình hình Pokémon đi lạc bất thường gần đây","""전방에 자신을 순찰대원이라 부르는 사람을 만났고, 당신에게 근처에서 포켓몬이 실종되는 비정상적인 사건의 조사에 협조해달라 했다""",,1,Kind and Helpful,熱心協助,Kind and Helpful,Hỗ trợ nhiệt tình,흔쾌히 도와준다,"Battle with the gang of rogues with the ranger, HP of battling Pokémons reduces by 10%, but rage level has increased",和巡護員一起，與某個盜賊團夥發生了戰鬥，上陣精靈生命值減少10%，但是怒氣值增加了,"Battle with the gang of rogues with the ranger, HP of battling Pokémons reduces by 10%, but rage level has increased","Cùng với Ranger chiến đấu với nhóm trộm bất kỳ, Pokémon lên trận giảm 10% HP, nhưng Nộ Khí tăng","""순찰 대원과 함께 어느 도적단과 전투가 일어났다. 출전한 포켓몬의 HP가 10% 감소했지만, 분노가 증가했다""",{buff=<200;215>},Express suspicion,表達懷疑,Express suspicion,Thể hiện nghie ngờ,의심을 표한다,"""There's nothing I can if you don't believe me. Maybe I can heal your companions?"" The HP of the battling Pokémons has recovered",“既然你不相信我也沒辦法，這樣吧，我幫你治療一下你的夥伴吧”，上陣精靈生命值獲得了回復,"""There's nothing I can if you don't believe me. Maybe I can heal your companions?"" The HP of the battling Pokémons has recovered","""Ngươi không tin ta cũng hết cách, thế này đi, ta giúp ngươi trị liệu đồng đội của ngươi"", Pokémon lên trận hồi phục HP","""“믿지 않는다니 어쩔 수 없지. 그럼, 내가 너의 동료들을 치료해 줄게”, 출전한 포켓몬의 HP가 회복됐다""",{buff=<210>},,,,,,,,,,,
30,,Sweets Room,點心房間,Sweets Room,Phòng Dimsum,디저트 룸,2,,"You've entered a room that makes sweets, but there seems to be no one here",進到了一個做點心的房間，但是這裡似乎沒有人在,"You've entered a room that makes sweets, but there seems to be no one here","Vào 1 Phòng làm Dimsum, nhưng hình như không có ai ở đây","""디저트를 만드는 방으로 들어왔지만, 이곳에는 아무도 없는 것 같다""",,,Steal some sweets,偷吃點心,Steal some sweets,Ăn trộm Dimsum,디저트를 훔쳐먹는다,HP of allied Pokémons fully recovers,上陣精靈的hp回復了,HP of allied Pokémons fully recovers,Pokémon lên trận hồi phục HP,출전한 포켓몬의 HP가 회복됐다,{buff=<214>},Takeaway,打包帶走,Takeaway,Gói mang đi,테이크 아웃 한다,"It's lucky you escaped fast enough, you're almost found",差點就被發現了，還好跑得快,"It's lucky you escaped fast enough, you're almost found","Suýt nữa bị phát hiện, may mà chạy nhanh","""하마터면 들킬 뻔했네, 빨리 도망쳐서 다행이야""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,1,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man ""poofs"" and transformed into Ditto before quickly fleeing away.",神秘人“嘭”得一聲變成了百變怪，飛快逃走了,"The mysterious man ""poofs"" and transformed into Ditto before quickly fleeing away.",404404,수수께끼의 인물이 “펑”하면서 메타몽으로 변하더니 빠르게 도망쳤다,,Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了50額外積分，還有金幣,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 50포인트와 골드 코인을 획득했다""",{points=50;items={gold=5000}},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다""",{items={gold=6000}}
1001,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,2,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了50額外積分，還有金幣,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 50포인트와 골드 코인을 획득했다""",{points=50;items={gold=5000}},Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다""",{items={gold=6000}},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,"The mysterious man ""poofs"" and transformed into Ditto before quickly fleeing away.",神秘人“嘭”得一聲變成了百變怪，飛快逃走了,"The mysterious man ""poofs"" and transformed into Ditto before quickly fleeing away.",404404,수수께끼의 인물이 “펑”하면서 메타몽으로 변하더니 빠르게 도망쳤다,
1002,,Mysterious man,神秘人,Mysterious man,404404,수수께끼의 인물,3,,You suddenly meet a suspicious-looking person and approached him,忽然遇到一個形跡可疑的人，你向他搭話,You suddenly meet a suspicious-looking person and approached him,404404,"""행동이 수상한 사람을 발견했고, 당신은 그에게 말을 걸었다""",,,Who are you,你是誰,Who are you,404404,당신은 누구세요?,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",神秘人指了指某個方向，沿著那個方向，你發現了一個奇怪的裝置，開啟裝置，獲得了50額外積分，還有金幣,"The mysterious man pointed at a direction, and while following that direction, you found a strange device. You activated the device and get 50extra points and 10000 coins.",404404,"""수수께끼의 인물이 특정 방향을 가르켰고, 방향을 따라 가보니 당신은 특이하게 생긴 장치를 발견했다. 장치를 가동해 보니, 추가로 50포인트와 골드 코인을 획득했다""",{points=50;items={gold=5000}},Where are you from?,你從哪裡來,Where are you from?,404404,어디서 왔나요,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",神秘人似乎不想告訴你，從口袋裡掏出一個袋子交給了你,"The mysterious man doesn't say anything, but takes out a bag from the pocket and hands it to you.",404404,"""수수께끼의 인물은 당신에게 말해주고 싶지 않아 했으며, 바지 주머니에서 주머니를 꺼내 당신에게 줬다""",{items={gold=6000}},Where are you going?,你要到哪兒去,Where are you going?,404404,어디로 가시나요,The mysterious man gives it some thought and hands you a small bag,神秘人略有所思，掏出一個小袋子給你,The mysterious man gives it some thought and hands you a small bag,"Người bí ẩn suy nghĩ một chút, lấy ra 1 túi nhỏ đưa cho ngươi","""수수께끼의 인물은 고민을 하더니, 작은 주머니를 꺼내 건네줬다""",{items={rmb=10}}