"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,type,arg,nums,levelMax,upCost,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc2,desc2_tw,desc2_en,desc2_vn,desc2_kr
默认值,"""""","""""","""""","""""","""""","""""",0,0,<>,10,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,技能名字,技能名字,技能名字,技能名字_越南,技能名字_韩,技能图标,技能类型,参数(增对4类型配置对应的yyID),技能数值,最大等级,升级消耗,技能描述,技能描述,技能描述,技能描述_越南,技能描述_韩,技能描述2,技能描述2,技能描述2,技能描述2_越南,技能描述2_韩
,,,,,,,,,,,,,,,,,,,,,
1,Finance Novice,理財新手,Finance Novice,404404,재산 관리 새내기,city/develop/train/icon_jbfbzj.png,12,0,<1>,1,{453=50},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,Free daily chances +%d,每日免費次數+%d,Free daily chances +%d,404404,매일 무료 횟수+%d
2,Exploration Will,探險意志,Exploration Will,404404,탐험의 의지,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=20},Story dungeon,劇情副本,Story dungeon,404404,스토리 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
3,Full Lobster,龍蝦吃飽,Full Lobster,404404,랍스타 배불리 먹기,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=30},Dinner,寶芙蕾（晚餐）,Dinner,404404,포플레(저녁),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
4,Financial Consultant,理財顧問,Financial Consultant,404404,재산 관리 고문,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=30},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
5,Exquisite Food,精緻佳餚,Exquisite Food,404404,맛있는 음식,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=35},Lunch,寶芙蕾（午餐）,Lunch,404404,포플레(점심),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
6,Elite member,精英隊員,Elite member,404404,정예 팀원,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=35},Elite Dungeon,困難關卡,Elite Dungeon,404404,하드 스테이지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
7,Magical Hands,魔術手,Magical Hands,404404,마술손,city/develop/train/icon_ck.png,11,0,<1>,1,{453=60},Coin Card Draw,金幣抽卡,Coin Card Draw,Kim tệ rút thẻ,골드코인 뽑기,Free daily chances +%d,每日免費次數+%d,Free daily chances +%d,404404,매일 무료 횟수+%d
8,Recover some HP,回口血,Recover some HP,404404,HP 회복,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=40},Maximum energy,體力上限,Maximum energy,Thể lực hạn mức cao nhất,체력 한도,Increases +%d,增加+%d,Increases +%d,404404,증가+%d
9,Finance Expert,金融專家,Finance Expert,404404,금융 전문가,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=40},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
10,Explorer Member,探險隊員,Explorer Member,404404,탐험 대원,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},Coin dungeon,金幣副本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
11,Hearty breakfast,豐盛早餐,Hearty breakfast,404404,푸짐한 아침밥,city/develop/train/icon_tllq.png,14,1,<2;4;6;8;10>,5,{453=45},Breakfast,寶芙蕾（早餐）,Breakfast,404404,포플레(아침),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
12,Dungeon Expert,副本老手,Dungeon Expert,404404,던전 고인물,city/develop/train/icon_jyfbcc.png,16,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},EXP Dungeon,經驗副本,EXP Dungeon,Kinh nghiệm phó bản,경험치 던전,"EXP +%d ",獲得經驗+%d,"EXP +%d ",404404,경험치 획득+%d
13,Distributor,批發商,Distributor,404404,도매상,city/develop/train/icon_jb2.png,9,0,<0.02;0.04;0.06;0.08;0.1>,5,{453=50},EXP Potion Purchase,經驗藥水購買,EXP Potion Purchase,404404,경험치 물약 구매,%d Discount,價格優惠+%d,%d Discount,404404,가격 할인+%d
14,Go for some skewers,烤串走起,Go for some skewers,404404,치맥 고고,city/develop/train/icon_tllq.png,14,4,<2;4;6;8;10>,5,{453=50},Supper,寶芙蕾（夜宵）,Supper,404404,포플레(야식),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
15,Still insufficient!,還不夠！,Still insufficient!,404404,부족해!,city/develop/train/icon_djss.png,12,0,<1>,1,{453=100},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,Free daily chances +%d,每日免費次數+%d,Free daily chances +%d,404404,매일 무료 횟수+%d
16,Training Master,訓練大師,Training Master,404404,트레이닝 마스터,city/develop/train/icon_jb1.png,26,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},Shard Dungeon,碎片副本,Shard Dungeon,Mảnh vỡ phó bản,조각 던전,Production +%d,產出增加+%d,Production +%d,404404,생산 증가+%d
17,For others for self,為人為己,For others for self,404404,모두를 위해,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=50},union donation,公會捐獻,union donation,404404,길드 기부,Union coins earned +%d,公會幣獲得量+%d,Union coins earned +%d,404404,길드 코인 획득량+%d
18,Pokémon Gift,精靈饋贈,Pokémon Gift,404404,포켓몬 선물,city/develop/train/icon_ghjz.png,2,0,<3;6;9;12;15>,5,{453=50},Maximum energy,體力上限,Maximum energy,Thể lực hạn mức cao nhất,체력 한도,Increases +%d,增加+%d,Increases +%d,404404,증가+%d
19,Finance Master,金融大師,Finance Master,404404,금융 마스터,city/develop/train/icon_jyfbcc.png,9,0,<0.02;0.04;0.06;0.08;0.1>,5,{453=60},EXP Potion Purchase,經驗藥水購買,EXP Potion Purchase,404404,경험치 물약 구매,%d Discount,價格優惠+%d,%d Discount,404404,가격 할인+%d
20,Go courageously,勇往直前,Go courageously,404404,용감하게 다가간다,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=60},Story dungeon,劇情副本,Story dungeon,404404,스토리 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
21,Santa Claus,聖誕老人,Santa Claus,404404,산타할아버지,city/develop/train/icon_jyfbcc.png,24,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},Gift Dungeon,禮物副本,Gift Dungeon,Lễ vật phó bản,선물 던전,Production +%d,產出增加+%d,Production +%d,404404,생산 증가+%d
22,Foodie,佛跳牆,Foodie,404404,불도장,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=60},Dinner,寶芙蕾（晚餐）,Dinner,404404,포플레(저녁),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
23,Skilled,熟能生巧,Skilled,404404,요령이 생기다,city/develop/train/icon_qfqn.png,6,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},Daily quest,日常任務,Daily quest,404404,일일 퀘스트,Get extra EXP +%d,獲得經驗額外增加+%d,Get extra EXP +%d,404404,추가 경험치 증가+%d
24,Sincerely,精誠所至,Sincerely,404404,지성이면 감천이다,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=75},Elite Dungeon,困難關卡,Elite Dungeon,404404,하드 스테이지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
25,Supreme Black Card,至尊黑卡,Supreme Black Card,404404,지존 블랙 카드,city/develop/train/icon_ck.png,22,0,<1>,1,{453=150},Dispatch quest,派遣任務,Dispatch quest,Điều động nhiệm vụ,파견 퀘스트,Free refresh chances+%d,免費刷新次數+%d,Free refresh chances+%d,404404,무료 새로고침 횟수+%d
26,Deluxe Lunch,豪華午餐,Deluxe Lunch,404404,호화로운 점심 식사,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=75},Lunch,寶芙蕾（午餐）,Lunch,404404,포플레(점심),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
27,Exploration Expert,探險專家,Exploration Expert,404404,탐험 전문가,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},Coin dungeon,金幣副本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
28,Elite Core Member,精英骨幹,Elite Core Member,404404,정예 핵심 멤버,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=60},union donation,公會捐獻,union donation,404404,길드 기부,Union coins earned +%d,公會幣獲得量+%d,Union coins earned +%d,404404,길드 코인 획득량+%d
29,Trainer Aura,主角光環,Trainer Aura,404404,주인공 버프,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,10,{453=60},Story dungeon,劇情副本,Story dungeon,404404,스토리 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
30,Unyielding,不屈意志,Unyielding,404404,불굴의 의지,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=75},Maximum energy,體力上限,Maximum energy,Thể lực hạn mức cao nhất,체력 한도,Increases +%d,增加+%d,Increases +%d,404404,증가+%d
31,Adventure Elite,冒險精英,Adventure Elite,404404,모험 엘리트,city/develop/train/icon_jyfbcc.png,6,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},Daily quest,日常任務,Daily quest,404404,일일 퀘스트,Get extra EXP +%d,獲得經驗額外增加+%d,Get extra EXP +%d,404404,추가 경험치 증가+%d
32,Future Star,未來之星,Future Star,404404,미래의 별,city/develop/train/icon_jyfbcc.png,16,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=70},EXP Dungeon,經驗副本,EXP Dungeon,Kinh nghiệm phó bản,경험치 던전,"EXP +%d ",獲得經驗+%d,"EXP +%d ",404404,경험치 획득+%d
33,Time Merchant,時光商人,Time Merchant,404404,시광의 상인,city/develop/train/icon_jb2.png,9,0,<0.02;0.04;0.06;0.08;0.1;0.12;0.14;0.16;0.18;0.2>,10,{453=70},EXP Potion Purchase,經驗藥水購買,EXP Potion Purchase,404404,경험치 물약 구매,%d Discount,價格優惠+%d,%d Discount,404404,가격 할인+%d
34,Fritters and Soymilk,油條豆漿,Fritters and Soymilk,404404,기름빵과 두유,city/develop/train/icon_tllq.png,14,1,<2;4;6;8;10>,5,{453=75},Breakfast,寶芙蕾（早餐）,Breakfast,404404,포플레(아침),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
35,Pokémon Ruins,精靈遺跡,Pokémon Ruins,404404,포켓몬 유적,city/develop/train/icon_jb1.png,26,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=100},Shard Dungeon,碎片副本,Shard Dungeon,Mảnh vỡ phó bản,조각 던전,Production +%d,產出增加+%d,Production +%d,404404,생산 증가+%d
36,Millionaire,大財主,Millionaire,404404,갑부,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=75},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
37,Resident,當地人民,Resident,404404,현지인,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5>,10,{453=75},Elite Dungeon,困難關卡,Elite Dungeon,404404,하드 스테이지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
38,Warm Milk,溫牛奶,Warm Milk,404404,따듯한 우유,city/develop/train/icon_tllq.png,14,4,<2;4;6;8;10>,5,{453=75},Supper,寶芙蕾（夜宵）,Supper,404404,포플레(야식),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
39,Adventure Elder,冒險長者,Adventure Elder,404404,모험 대장,city/develop/train/icon_jyfbcc.png,6,0,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,10,{453=75},Daily quest,日常任務,Daily quest,404404,일일 퀘스트,Get extra EXP +%d,獲得經驗額外增加+%d,Get extra EXP +%d,404404,추가 경험치 증가+%d
40,Crew,管理人員,Crew,404404,관리원,city/develop/train/icon_ghjz.png,17,0,<0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1>,10,{453=100},union donation,公會捐獻,union donation,404404,길드 기부,Union coins earned +%d,公會幣獲得量+%d,Union coins earned +%d,404404,길드 코인 획득량+%d
41,Master of Romance,情場高手,Master of Romance,404404,로맨스 마스터,city/develop/train/icon_jyfbcc.png,24,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=75},Gift Dungeon,禮物副本,Gift Dungeon,Lễ vật phó bản,선물 던전,Production +%d,產出增加+%d,Production +%d,404404,생산 증가+%d